entry_id,created_at,pir,ir,color code,alert,part_name,part_type,material,product_id,defect_type,defect_location
1,2025-06-09T09:30:38+00:00,0,0,0,1,Air Filter,Brake System,Metal,10001,Cosmetic,Internal
2,2025-06-09T10:08:34+00:00,0,0,2,1,Radiator,Engine Parts,Metal,10002,Functional,Internal
3,2025-06-09T09:17:00+00:00,0,0,2,0,Battery,Electrical,Plastic,10003,Structural,Surface
4,2025-06-09T09:17:20+00:00,0,0,0,1,Alternator,Electrical,Aluminum,10004,Functional,Component
5,2025-06-09T10:11:13+00:00,1,0,0,1,Windshield Wiper,Fuel System,Synthetic,10005,Cosmetic,Surface
6,2025-06-09T09:13:41+00:00,1,0,0,1,Engine Oil Filter,Fuel System,Synthetic,10006,Functional,Component
7,2025-06-09T09:19:12+00:00,0,0,0,0,Brake Pad,Engine Parts,Metal,10007,Structural,Internal
8,2025-06-09T10:16:15+00:00,1,0,0,1,Alternator,Engine Parts,Metal,10008,Functional,Component
9,2025-06-09T09:23:39+00:00,1,0,0,0,Radiator,Fuel System,Synthetic,10009,Functional,Internal
10,2025-06-09T09:29:41+00:00,0,0,2,1,Alternator,Brake System,Aluminum,10010,Functional,Surface
11,2025-06-09T09:41:21+00:00,0,0,0,0,Engine Oil Filter,Fuel System,Plastic,10011,Functional,Surface
12,2025-06-09T10:02:02+00:00,1,0,0,1,Fuel Tank,Engine Parts,Plastic,10012,Structural,Surface
13,2025-06-09T10:02:39+00:00,1,0,0,1,Spark Plug,Engine Parts,Plastic,10013,Structural,Surface
14,2025-06-09T09:21:25+00:00,0,0,0,1,Alternator,Brake System,Ceramic,10014,Functional,Component
15,2025-06-09T10:01:03+00:00,1,0,0,0,Fuel Tank,Engine Parts,Ceramic,10015,Structural,Internal
16,2025-06-09T09:25:34+00:00,0,0,0,1,Spark Plug,Electrical,Synthetic,10016,Cosmetic,Surface
17,2025-06-09T09:31:35+00:00,1,0,0,1,Air Filter,Engine Parts,Aluminum,10017,Cosmetic,Component
18,2025-06-09T09:48:34+00:00,0,0,0,1,Windshield Wiper,Electrical,Aluminum,10018,Cosmetic,Component
19,2025-06-09T09:53:05+00:00,0,1,1,0,Brake Pad,Lighting,Aluminum,10019,Structural,Surface
20,2025-06-09T10:03:36+00:00,1,1,0,0,Fuel Tank,Engine Parts,Aluminum,10020,Structural,Component
